patientsWithHeartRisk,1555869428968
patientsWithHeartRisk,2019-04-21 20:59:54.23
patientsWithHeartRisk,2019-04-21 21:02:15.738
childPatients,2019-04-21 21:02:15.754
getAppointment1Cost,2019-04-21 21:02:15.756
patientWithLongestDiagnosisList,2019-04-21 21:02:15.759
orderPatients,2019-04-21 21:02:15.764
getTheMostSpecialisedDoctor,2019-04-21 21:02:15.767
getAllAppointmentsFrom2019,2019-04-21 21:02:15.77
patientWithCancer,2019-04-21 21:02:15.773
prescriptionsContainingParacetamol,2019-04-21 21:02:15.776
nrOfAppointmentsMadeByAGivenPatient,2019-04-21 21:02:15.779
patientsWithHeartRisk,2019-04-22 00:39:12.778
childPatients,2019-04-22 00:39:12.79
getAppointment1Cost,2019-04-22 00:39:12.792
patientWithLongestDiagnosisList,2019-04-22 00:39:12.797
orderPatients,2019-04-22 00:39:12.809
getTheMostSpecialisedDoctor,2019-04-22 00:39:12.817
getAllAppointmentsFrom2019,2019-04-22 00:39:12.822
patientWithCancer,2019-04-22 00:39:12.83
prescriptionsContainingParacetamol,2019-04-22 00:39:12.833
nrOfAppointmentsMadeByAGivenPatient,2019-04-22 00:39:12.836
patientsWithHeartRisk,2019-05-01 15:28:07.618
childPatients,2019-05-01 15:28:07.631
getAppointment1Cost,2019-05-01 15:28:07.633
patientWithLongestDiagnosisList,2019-05-01 15:28:07.639
orderPatients,2019-05-01 15:28:07.663
getTheMostSpecialisedDoctor,2019-05-01 15:28:07.667
patientWithCancer,2019-05-01 15:28:07.673
prescriptionsContainingParacetamol,2019-05-01 15:28:07.676
nrOfAppointmentsMadeByAGivenPatient,2019-05-01 15:28:07.678
patientsWithHeartRisk,2019-05-01 15:58:28.775
childPatients,2019-05-01 15:58:28.787
getAppointment1Cost,2019-05-01 15:58:28.792
patientWithLongestDiagnosisList,2019-05-01 15:58:28.797
orderPatients,2019-05-01 15:58:28.801
getTheMostSpecialisedDoctor,2019-05-01 15:58:28.804
patientWithCancer,2019-05-01 15:58:28.807
prescriptionsContainingParacetamol,2019-05-01 15:58:28.81
nrOfAppointmentsMadeByAGivenPatient,2019-05-01 15:58:28.813
patientsWithHeartRisk,2019-05-01 16:02:51.823
childPatients,2019-05-01 16:02:51.869
getAppointment1Cost,2019-05-01 16:02:51.885
patientWithLongestDiagnosisList,2019-05-01 16:02:51.885
orderPatients,2019-05-01 16:02:51.901
getTheMostSpecialisedDoctor,2019-05-01 16:02:51.901
patientWithCancer,2019-05-01 16:02:51.901
prescriptionsContainingParacetamol,2019-05-01 16:02:51.901
nrOfAppointmentsMadeByAGivenPatient,2019-05-01 16:02:51.901
getTheMostSpecialisedDoctor,2019-05-02 14:31:09.63
childPatients,2019-05-02 14:44:46.434
patientWithCancer,2019-05-02 14:51:30.436
patientWithCancer,2019-05-02 14:51:36.105
patientWithCancer,2019-05-02 14:51:37.175
childPatients,2019-05-02 14:51:38.921
patientWithCancer,2019-05-02 14:51:40.716
patientsWithHeartRisk,2019-05-02 14:52:27.959
patientWithCancer,2019-05-02 14:52:36.483
childPatients,2019-05-02 14:52:40.621
patientWithLongestDiagnosisList,2019-05-02 14:55:52.811
getTheMostSpecialisedDoctor,2019-05-02 14:57:54.801
getTheMostSpecialisedDoctor,2019-05-02 14:57:55.694
patientsWithHeartRisk,2019-05-02 14:57:56.913
patientWithCancer,2019-05-02 14:57:58.177
getTheMostSpecialisedDoctor,2019-05-02 14:57:59.66
childPatients,2019-05-02 14:58:01.084
getTheMostSpecialisedDoctor,2019-05-02 14:58:25.85
patientWithCancer,2019-05-02 15:10:56.064
patientsWithHeartRisk,2019-05-02 15:10:58.605
prescriptionsContainingPill,2019-05-02 15:59:46.487
prescriptionsContainingPill,2019-05-02 16:08:54.914
prescriptionsContainingPill,2019-05-02 17:01:47.133
prescriptionsContainingPill,2019-05-02 17:03:45.447
prescriptionsContainingPill,2019-05-02 17:04:10.927
prescriptionsContainingPill,2019-05-02 17:04:34.679
prescriptionsContainingPill,2019-05-02 17:05:44.071
prescriptionsContainingPill,2019-05-02 17:06:56.18
prescriptionsContainingPill,2019-05-02 17:10:54.86
prescriptionsContainingPill,2019-05-02 19:40:42.922
stringprescriptionsContainingPill,2019-05-02 19:48:33.618
childPatients,2019-05-06 08:24:28.179
patientWithCancer,2019-05-06 08:24:32.967SwingWorker-pool-1-thread-2
patientsWithHeartRisk,2019-05-06 08:24:35.092
patientWithLongestDiagnosisList,2019-05-06 08:24:40.958SwingWorker-pool-1-thread-4
stringprescriptionsContainingPill,2019-05-06 08:31:09.162AWT-EventQueue-0
